CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster_no
124,Male,39,69,91,2
126,Female,31,70,77,2
128,Male,40,71,95,2
130,Male,38,71,75,2
132,Male,39,71,75,2
134,Female,31,72,71,2
136,Female,29,73,88,2
138,Male,32,73,73,2
140,Female,35,74,72,2
142,Male,32,75,93,2
144,Female,32,76,87,2
146,Male,28,77,97,2
148,Female,32,77,74,2
150,Male,34,78,90,2
152,Male,39,78,88,2
154,Female,38,78,76,2
156,Female,27,78,89,2
158,Female,30,78,78,2
160,Female,30,78,73,2
162,Female,29,79,83,2
164,Female,31,81,93,2
166,Female,36,85,75,2
168,Female,33,86,95,2
170,Male,32,87,63,2
172,Male,28,87,75,2
174,Male,36,87,92,2
176,Female,30,88,86,2
178,Male,27,88,69,2
180,Male,35,93,90,2
182,Female,32,97,86,2
184,Female,29,98,88,2
186,Male,30,99,97,2
188,Male,28,101,68,2
190,Female,36,103,85,2
192,Female,32,103,69,2
194,Female,38,113,91,2
196,Female,35,120,79,2
198,Male,32,126,74,2
200,Male,30,137,83,2
