CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster_no
129,Male,59,71,11,0
131,Male,47,71,9,0
135,Male,20,73,5,0
137,Female,44,73,7,0
139,Male,19,74,10,0
141,Female,57,75,5,0
145,Male,25,77,12,0
149,Female,34,78,22,0
151,Male,43,78,17,0
153,Female,44,78,20,0
155,Female,47,78,16,0
157,Male,37,78,1,0
159,Male,34,78,1,0
163,Male,19,81,5,0
165,Male,50,85,26,0
167,Male,42,86,20,0
169,Female,36,87,27,0
171,Male,40,87,13,0
173,Male,36,87,10,0
175,Female,52,88,13,0
177,Male,58,88,15,0
179,Male,59,93,14,0
181,Female,37,97,32,0
183,Male,46,98,15,0
185,Female,41,99,39,0
187,Female,54,101,24,0
189,Female,41,103,17,0
191,Female,34,103,23,0
193,Male,33,113,8,0
195,Female,47,120,16,0
197,Female,45,126,28,0
199,Male,32,137,18,0
