CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster_no
44,Female,31,39,61,1
46,Female,24,39,65,1
47,Female,50,40,55,1
48,Female,27,40,47,1
49,Female,29,40,42,1
50,Female,31,40,42,1
51,Female,49,42,52,1
52,Male,33,42,60,1
53,Female,31,43,54,1
54,Male,59,43,60,1
55,Female,50,43,45,1
56,Male,47,43,41,1
57,Female,51,44,50,1
58,Male,69,44,46,1
59,Female,27,46,51,1
60,Male,53,46,46,1
61,Male,70,46,56,1
62,Male,19,46,55,1
63,Female,67,47,52,1
64,Female,54,47,59,1
65,Male,63,48,51,1
66,Male,18,48,59,1
67,Female,43,48,50,1
68,Female,68,48,48,1
69,Male,19,48,59,1
70,Female,32,48,47,1
71,Male,70,49,55,1
72,Female,47,49,42,1
73,Female,60,50,49,1
74,Female,60,50,56,1
75,Male,59,54,47,1
76,Male,26,54,54,1
77,Female,45,54,53,1
78,Male,40,54,48,1
79,Female,23,54,52,1
80,Female,49,54,42,1
81,Male,57,54,51,1
82,Male,38,54,55,1
83,Male,67,54,41,1
84,Female,46,54,44,1
85,Female,21,54,57,1
86,Male,48,54,46,1
87,Female,55,57,58,1
88,Female,22,57,55,1
89,Female,34,58,60,1
90,Female,50,58,46,1
91,Female,68,59,55,1
92,Male,18,59,41,1
93,Male,48,60,49,1
94,Female,40,60,40,1
95,Female,32,60,42,1
96,Male,24,60,52,1
97,Female,47,60,47,1
98,Female,27,60,50,1
99,Male,48,61,42,1
100,Male,20,61,49,1
101,Female,23,62,41,1
102,Female,49,62,48,1
103,Male,67,62,59,1
104,Male,26,62,55,1
105,Male,49,62,56,1
106,Female,21,62,42,1
107,Female,66,63,50,1
108,Male,54,63,46,1
109,Male,68,63,43,1
110,Male,66,63,48,1
111,Male,65,63,52,1
112,Female,19,63,54,1
113,Female,38,64,42,1
114,Male,19,64,46,1
115,Female,18,65,48,1
116,Female,19,65,50,1
117,Female,63,65,43,1
118,Female,49,65,59,1
119,Female,51,67,43,1
120,Female,50,67,57,1
121,Male,27,67,56,1
122,Female,38,67,40,1
123,Female,40,69,58,1
125,Female,23,70,29,1
127,Male,43,71,35,1
133,Female,25,72,34,1
143,Female,28,76,40,1
147,Male,48,77,36,1
161,Female,56,79,35,1
